ID	NAME	TYPE	MASS	VOLUME	ICONPATH
1721440	Pipes	none	0	0	
2246907	Uncommon Freight Vertical Booster XS Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
2629577	Exotic Gas Cylinder XS Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
2680864	Exotic Gas Cylinder XL Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
3816098	Painted Gray Sulfur	worldMaterial	18.2	10	resources_generated/iconsLib/materialslib/env_sulfur-painted-hc-gray_icon.png
4509094	Polycalcite Plastic product Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
5904195	Space Core Unit m	object	3037.5395	420	resources_generated/elements/core-units/core-unit-space_001/icons/env_core-unit-space_001_icon.png
5904544	Space Core Unit l	object	7684.51425	1383	resources_generated/elements/core-units/core-unit-space_001_l/icons/env_core-unit-space_001_l_icon.png
7830733	Gas cylinders	none	0	0	
7954652	Relic Plasma Extractor L Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
10479385	Uncommon Component Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
10479448	Advanced Component Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
10479578	Basic Component Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
10898372	Power Systems	none	0	0	
11309408	Laser xs	object	118	39	resources_generated/elements/cannons/cannon-laser-tower_001_xs/icons/env_cannon-laser-tower_001_xs_icon.png
16256901	Railgun Defense Electromagnetic Ammo M Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
16421007	Ice Maraging Steel Panel	worldMaterial	82.3	10	resources_generated/iconsLib/materialslib/env_maraging-steel-panel-hc-ice_icon.png
16482091	Uncommon Freight Space Engine xs	object	124.3	20.33	resources_generated/elements/engines/engine-space-freight_001_xs/icons/env_engine-space-freight_001_xs_icon.png
16640207	Red Maraging Steel Panel	worldMaterial	82.3	10	resources_generated/iconsLib/materialslib/env_maraging-steel-panel-hc-red_icon.png
16643746	Sky Maraging Steel Panel	worldMaterial	82.3	10	resources_generated/iconsLib/materialslib/env_maraging-steel-panel-hc-sky_icon.png
16651125	Deprecated Dispenser	object	2060.38	479.2	resources_generated/elements/containers/container-dispenser_001/icons/env_container-dispenser_001_icon.png
17461164	Cannon Ammo S s	object	0	1	
18262914	Al-Fe Alloy product	material	7.5	1	resources_generated/elements/products/product-conductor-metal_001/icons/env_product-conductor-metal_001_icon.png
18579515	Warp Beacon Units	object	400	0	
18739849	Exotic Agile Missile S Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
18740224	Advanced Agile Missile S Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
18740417	Rare Agile Missile S Schematic	none	0	0	resources_generated/elements/recipes/recipe_001/icons/env_recipe_001_icon.png
19332250	Railgun Electromagnetic Ammo l	object	86.4	1250	resources_generated/elements/ammos/ammo-railgun-electromagnetic_001/icons/env_ammo-railgun-electromagnetic_001_icon.png
22842754	Painted Military Maraging Steel	worldMaterial	82.3	10	resources_generated/iconsLib/materialslib/env_maraging-steel-painted-hc-military_icon.png
23421348	Electronics	none	0	0	
24940016	Snow	worldMaterial	0.9	1	resources_generated/env/voxel/worlds/snow-melting_001/icons/env_snow-melting_001_icon.png
25682791	Long Light xs	object	70.05	10.8	resources_generated/elements/lights/light-quad_001_xs/icons/env_light-quad_001_xs_icon.png
26453381	Glossy white plastic	worldMaterial	14	10	resources_generated/env/voxel/hc/plastic-bright-hc/icons/env_plastic-bright-hc_icon_white.png
